run_id,run_label,order_num,conveyor,replication
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,1,1,1
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,6,1,1
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,10,1,1
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,2,2,1
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,9,2,1
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,11,2,1
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,3,3,1
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,7,3,1
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,8,4,1
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,5,4,1
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,4,4,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,1,1,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,6,1,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,10,1,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,2,2,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,9,2,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,11,2,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,3,3,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,7,3,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,8,4,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,5,4,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,4,4,1
17,run_17_algorithm4_combined_overlap_smart_active_need_fixed,5,1,1
17,run_17_algorithm4_combined_overlap_smart_active_need_fixed,1,1,1
17,run_17_algorithm4_combined_overlap_smart_active_need_fixed,10,1,1
17,run_17_algorithm4_combined_overlap_smart_active_need_fixed,2,2,1
17,run_17_algorithm4_combined_overlap_smart_active_need_fixed,9,2,1
17,run_17_algorithm4_combined_overlap_smart_active_need_fixed,7,2,1
17,run_17_algorithm4_combined_overlap_smart_active_need_fixed,3,3,1
17,run_17_algorithm4_combined_overlap_smart_active_need_fixed,4,3,1
17,run_17_algorithm4_combined_overlap_smart_active_need_fixed,11,3,1
